folk_phrase,language,language_code,canonical_english,namaste_code,icd11_allopathic,clinical_category,severity,dosha_hint,alternative_phrasings
पेट में गैस भरी है,Hindi,hi,Bloating and flatulence,NM-F001,R14.0,GI,mild,Vata,"पेट फूला हुआ है,गैस बनती है,अफारा होता है"
पोटात वायू आहे,Marathi,mr,Bloating and flatulence,NM-F001,R14.0,GI,mild,Vata,"पोट फुगते,गॅस होतो"
सीना भारी लगता है,Hindi,hi,Chest heaviness or pressure,NM-F002,R07.9,Cardiac,moderate,Kapha,"छाती में भारीपन,सांस भारी लगता है"
छाती जड वाटते,Marathi,mr,Chest heaviness or pressure,NM-F002,R07.9,Cardiac,moderate,Kapha,"छाती दाबल्यासारखी वाटते"
आँखों के आगे अँधेरा छाता है,Hindi,hi,Visual blackout or pre-syncope,NM-F003,H53.9,Neurological,critical,Vata,"आँखें घूम जाती हैं,नजर धुंधली हो जाती है,चक्कर आता है"
डोळ्यांसमोर काळोख येतो,Marathi,mr,Visual blackout or pre-syncope,NM-F003,H53.9,Neurological,critical,Vata,"दृष्टी अंधुक होते"
हाथ पैर सुन्न हो जाते हैं,Hindi,hi,Numbness and paraesthesia,NM-F004,R20.2,Neurological,moderate,Vata,"झनझनाहट होती है,चींटियाँ चलती हैं,सुन्नपन है"
हात पाय बधिर होतात,Marathi,mr,Numbness and paraesthesia,NM-F004,R20.2,Neurological,moderate,Vata,"मुंग्या येतात,हात बधिर होतात"
सर घूमता है,Hindi,hi,Dizziness and vertigo,NM-F005,R42,Neurological,moderate,Vata,"चक्कर आते हैं,माथा घूमता है,गोल गोल घूमता है"
डोकं गरगरतं,Marathi,mr,Dizziness and vertigo,NM-F005,R42,Neurological,moderate,Vata,"चक्कर येतात,डोळे गरगरतात"
नींद नहीं आती,Hindi,hi,Insomnia and sleep difficulty,NM-F006,G47.0,Psychiatric,mild,Vata,"रात को नींद नहीं,सोने में तकलीफ,रात भर जागना"
झोप येत नाही,Marathi,mr,Insomnia and sleep difficulty,NM-F006,G47.0,Psychiatric,mild,Vata,"रात्री झोप लागत नाही,झोप उडाली"
खाना हज़म नहीं होता,Hindi,hi,Indigestion and dyspepsia,NM-F007,K30,GI,mild,Kapha,"पाचन ठीक नहीं,भोजन नहीं पचता,अजीर्ण रहता है"
जेवण पचत नाही,Marathi,mr,Indigestion and dyspepsia,NM-F007,K30,GI,mild,Kapha,"जेवण पचत नाही,अपचन होते"
पेट में दर्द रहता है,Hindi,hi,Abdominal pain,NM-F008,R10.9,GI,moderate,Tridosha,"पेट में मरोड़,पेट दर्द,उदरशूल"
पोट दुखते,Marathi,mr,Abdominal pain,NM-F008,R10.9,GI,moderate,Tridosha,"पोटात दुखते,पोटात वेदना"
चक्कर आते हैं,Hindi,hi,Dizziness and fainting,NM-F009,R42,Neurological,moderate,Vata,"सिर चकराता है,बेहोशी जैसा लगता है"
चक्कर येतात,Marathi,mr,Dizziness and fainting,NM-F009,R42,Neurological,moderate,Vata,"गरगरल्यासारखं वाटतं"
खून की कमी है,Hindi,hi,Anaemia and blood deficiency,NM-F010,D64.9,Haematological,moderate,Pitta,"खून कम है,कमजोरी है,पीलापन है,शरीर में खून नहीं"
रक्ताची कमतरता,Marathi,mr,Anaemia and blood deficiency,NM-F010,D64.9,Haematological,moderate,Pitta,"रक्त कमी आहे,अशक्तपणा"
बीपी हाई रहता है,Hindi,hi,Hypertension,NM-F011,I10,Cardiovascular,severe,Pitta,"उच्च रक्तचाप,बीपी बढ़ा है,ब्लड प्रेशर हाई"
रक्तदाब जास्त आहे,Marathi,mr,Hypertension,NM-F011,I10,Cardiovascular,severe,Pitta,"बीपी जास्त,उच्च रक्तदाब"
शुगर की बीमारी है,Hindi,hi,Diabetes mellitus,NM-F012,E11.9,Endocrine,severe,Kapha,"मधुमेह,डायबिटीज,शुगर है"
साखरेचा आजार,Marathi,mr,Diabetes mellitus,NM-F012,E11.9,Endocrine,severe,Kapha,"मधुमेह,डायबिटीज"
दिल की धड़कन तेज़ है,Hindi,hi,Palpitations and tachycardia,NM-F013,R00.0,Cardiac,critical,Pitta,"दिल तेज़ धड़कता है,हृदय की धड़कन तेज़"
हृदयाचे ठोके वेगाने पडतात,Marathi,mr,Palpitations and tachycardia,NM-F013,R00.0,Cardiac,critical,Pitta,"हृदयाची धडधड"
गला ख़राब है,Hindi,hi,Sore throat and pharyngitis,NM-F014,J02.9,Respiratory,mild,Kapha,"गले में खराश,गला दर्द,गले में तकलीफ"
घसा दुखतो,Marathi,mr,Sore throat and pharyngitis,NM-F014,J02.9,Respiratory,mild,Kapha,"घसा खवखवतो,घसा दुखतो"
पीठ दर्द है,Hindi,hi,Back pain and lumbago,NM-F015,M54.5,Musculoskeletal,moderate,Vata,"कमर दर्द,पीठ में दर्द,कमर में दर्द"
पाठ दुखते,Marathi,mr,Back pain and lumbago,NM-F015,M54.5,Musculoskeletal,moderate,Vata,"कंबर दुखते,पाठदुखी"
बुखार है,Hindi,hi,Fever and pyrexia,NM-S005,R50.9,Systemic,moderate,Pitta,"ताप आया है,बदन गरम है,तेज़ बुखार"
ताप आलाय,Marathi,mr,Fever and pyrexia,NM-S005,R50.9,Systemic,moderate,Pitta,"ताप आहे,अंग तापते"
खांसी आती है,Hindi,hi,Cough,NM-S004,R05.9,Respiratory,mild,Kapha,"सूखी खाँसी,कफ वाली खाँसी,खाँसना"
खोकला येतो,Marathi,mr,Cough,NM-S004,R05.9,Respiratory,mild,Kapha,"खोकला,कफ खोकला"
